Date,Timestamp, Ticker,  Message ,  Price , % of Vol , Block Type , Value , SecurityType, Industry, Sector,  30DayAverage , Float, EarningsDate
11/15/2019,11:44:51 AM,FXG," 266,525 ", $48.56 ,356%,DARK BLOCK,$12.0M,ETF/Fund,ETFs,Miscellaneous," 74,789 ",7,N/A
11/15/2019,11:45:05 AM,FXH," 189,010 ", $80.12 ,257%,DARK ISOBB,$15.0M,ETF/Fund,ETFs,Miscellaneous," 73,574 ",13,N/A
11/15/2019,12:30:47 PM,FXI," 1,350,000 ", $41.14 ,6%,BLOCK,$55.0M,ETF/Fund,ETFs,Miscellaneous," 24,357,209 ",106,N/A
11/15/2019,4:26:59 PM,FXI," 1,053,000 ", $41.13 ,4%,DARK BLOCK,$43.0M,ETF/Fund,ETFs,Miscellaneous," 24,357,209 ",106,N/A
11/15/2019,10:09:22 AM,FXI," 1,000,000 ", $41.04 ,4%,BLOCK,$41.0M,ETF/Fund,ETFs,Miscellaneous," 24,357,209 ",106,N/A
11/15/2019,11:03:32 AM,FXI," 600,000 ", $41.04 ,2%,BLOCK,$24.0M,ETF/Fund,ETFs,Miscellaneous," 24,357,209 ",106,N/A
11/15/2019,2:34:04 PM,FXI," 600,000 ", $41.12 ,2%,BLOCK,$24.0M,ETF/Fund,ETFs,Miscellaneous," 24,357,209 ",106,N/A
11/15/2019,1:23:31 PM,FXI," 560,700 ", $41.16 ,2%,DARK ISOAA,$23.0M,ETF/Fund,ETFs,Miscellaneous," 24,357,209 ",106,N/A
11/15/2019,9:38:39 AM,FXI," 395,581 ", $41.04 ,2%,DARK BLOCK,$16.0M,ETF/Fund,ETFs,Miscellaneous," 24,357,209 ",106,N/A
11/15/2019,4:20:34 PM,FXI," 336,000 ", $43.13 ,1%,DARK BLOCK,$14.0M,ETF/Fund,ETFs,Miscellaneous," 24,357,209 ",106,N/A
11/15/2019,10:54:53 AM,FXI," 142,500 ", $41.20 ,1%,BLOCK,$5.8M,ETF/Fund,ETFs,Miscellaneous," 24,357,209 ",106,N/A
11/15/2019,11:44:03 AM,FXL," 198,521 ", $70.10 ,127%,DARK ISOAADay,$13.0M,ETF/Fund,ETFs,Miscellaneous," 155,787 ",32,N/A
11/15/2019,11:44:37 AM,FXO," 373,940 ", $32.80 ,179%,DARK ISOBB,$12.0M,ETF/Fund,ETFs,Miscellaneous," 208,624 ",58,N/A
11/15/2019,2:28:45 PM,GBIL," 212,511 ", $100.36 ,107%,DARK ISO,$21.0M,ETF/Fund,,," 197,777 ",33,N/A
11/15/2019,4:11:44 PM,GDX," 5,360,960 ", $26.74 ,10%,DARK BLOCK,$143.0M,ETF/Fund,ETFs,Miscellaneous," 54,066,336 ",431,N/A
11/15/2019,4:56:16 PM,GDX," 5,360,960 ", $26.74 ,10%,DARK BLOCK,$143.0M,ETF/Fund,ETFs,Miscellaneous," 54,066,336 ",431,N/A
11/15/2019,4:25:42 PM,GLD," 1,085,446 ", $138.19 ,14%,DARK AVGPRC,$149.0M,ETF/Fund,ETFs,Miscellaneous," 7,545,095 ",312,N/A
11/15/2019,4:26:27 PM,GLD," 1,085,446 ", $138.18 ,14%,DARK AVGPRC,$149.0M,ETF/Fund,ETFs,Miscellaneous," 7,545,095 ",312,N/A
11/15/2019,5:22:38 PM,GLD," 550,000 ", $138.21 ,7%,DARK BLOCK,$76.0M,ETF/Fund,ETFs,Miscellaneous," 7,545,095 ",312,N/A
11/15/2019,11:50:25 AM,GLD," 400,000 ", $138.04 ,5%,DARK BLOCK,$55.0M,ETF/Fund,ETFs,Miscellaneous," 7,545,095 ",312,N/A
